Date,Open,High,Low,Close,Adj Close,Volume
2016-06-15,8.316839,8.376816,8.086926,8.216877,6.668156,2288269
2016-06-16,8.216877,8.636718,8.076930,8.526759,6.919631,3472619
2016-06-17,8.596733,8.696695,8.256862,8.296847,6.733053,3120585
2016-06-20,8.386813,8.636718,8.386813,8.556748,6.943968,2053880
2016-06-21,8.556748,9.096543,8.356824,9.096543,7.382022,3856064
2016-06-22,9.126531,10.366060,9.126531,10.196125,8.274354,7939615
2016-06-23,10.446030,11.485635,10.206121,11.465643,9.304592,10233587
2016-06-24,10.805893,12.045422,10.775905,11.695555,9.491171,6341108
2016-06-27,11.805513,12.055418,11.265719,12.055418,9.783207,3422800
2016-06-28,12.415282,13.434894,12.355304,13.194985,10.707988,5092034
2016-06-29,13.344928,13.544852,12.295327,12.815130,10.399728,4718692
2016-06-30,12.585217,13.284951,12.345308,12.835122,10.415951,4713890
2016-07-01,12.955077,13.055039,12.245346,12.785141,10.375391,3169303
2016-07-04,12.745156,13.394909,12.745156,13.244966,10.748548,1669934
2016-07-05,13.244966,13.774765,13.095023,13.744776,11.154153,3297152
2016-07-06,13.774765,13.814750,13.135008,13.544852,10.991911,2650606
2016-07-07,13.594833,13.824746,13.434894,13.824746,11.219049,2033172
2016-07-08,13.814750,14.004678,13.544852,13.994682,11.356956,3736519
2016-07-11,13.884723,15.234210,13.884723,15.174233,12.314185,4517015
2016-07-12,15.364161,15.704032,15.104260,15.454127,12.541325,5038113
2016-07-13,15.394150,15.444131,14.734400,15.214218,12.346634,3102978
2016-07-14,15.294188,16.073891,15.234210,15.893960,12.898258,2133010
2016-07-15,15.813990,16.193846,15.424138,16.103880,13.068612,2440326
2016-07-18,15.973929,16.353785,15.863971,16.353785,13.271415,2793461
2016-07-19,16.073891,16.373777,15.254203,15.574081,12.638670,1592704
2016-07-20,15.614066,15.833983,15.294188,15.294188,12.411531,2482543
2016-07-21,15.164237,15.614066,14.934324,15.614066,12.671119,2124907
2016-07-22,15.494112,16.613686,15.494112,16.513723,13.401208,1903523
2016-07-25,16.913572,17.253443,16.613686,17.203463,13.960945,3301754
2016-07-26,17.073511,17.193466,16.273815,16.803614,13.636459,2599987
2016-07-27,16.943562,16.943562,16.463743,16.733641,13.579675,1542185
2016-07-28,16.603689,17.233452,16.083887,17.233452,13.985281,2239650
2016-07-29,17.183470,17.623302,16.903576,17.623302,14.301653,2282867
2016-08-01,17.633299,17.933186,17.213457,17.593313,14.277315,1714551
2016-08-02,17.503347,17.733261,17.423380,17.693275,14.358437,1353814
2016-08-03,17.593313,18.143105,17.183470,18.143105,14.723482,1569196
2016-08-04,18.063135,19.312660,18.053139,19.312660,15.672601,3295451
2016-08-05,19.242687,19.992401,19.002777,19.792479,16.061981,3204117
2016-08-08,19.792479,19.842459,18.972790,19.592554,15.899739,2523058
2016-08-09,19.772486,19.772486,18.442991,18.992783,15.413013,1932634
2016-08-10,19.092745,19.662527,18.822847,19.132729,15.526583,2274664
2016-08-11,19.372639,19.962414,18.882824,19.692516,15.980859,2746443
2016-08-12,19.292667,19.892441,19.282673,19.642534,15.940298,1195053
2016-08-15,19.762489,19.842459,19.482595,19.742496,16.021420,648946
2016-08-16,19.972410,20.842079,19.282673,19.692516,15.980859,1763369
2016-08-17,19.692516,19.812471,18.592934,19.502588,15.826732,2506652
2016-08-18,19.342649,19.772486,19.122732,19.672523,15.964635,969968
2016-08-19,19.632540,19.662527,18.972790,19.012775,15.429235,1472459
2016-08-22,19.022772,19.062756,18.123114,18.492971,15.007406,1273083
2016-08-23,18.552950,18.842838,18.163097,18.353025,14.893836,1677637
2016-08-24,18.273056,18.582937,17.823227,18.293049,14.845166,1237870
2016-08-25,18.472980,18.842838,18.203081,18.572943,15.072303,1662331
2016-08-26,18.702892,20.882065,18.632919,20.322277,16.491924,7355794
2016-08-29,20.082369,20.812092,19.782482,20.682140,16.783958,2307676
2016-08-30,20.732121,22.261539,20.642155,22.161577,17.984550,3444208
2016-08-31,22.141586,22.541433,21.671764,22.521441,18.276587,2635000
2016-09-01,22.541433,22.991262,22.051620,22.901297,18.584848,1445048
2016-09-02,22.901297,24.030869,22.901297,23.700993,19.233816,1320601
2016-09-05,23.700993,23.910913,22.881306,22.881306,18.568623,941957
2016-09-06,22.711369,23.441092,22.651392,23.391111,18.982342,1183549
2016-09-08,23.341129,24.320759,23.271156,24.060856,19.525852,1556891
2016-09-09,24.070852,24.250784,22.791340,23.041245,18.698416,1752165
2016-09-12,23.091225,23.111217,22.441471,22.861313,18.552399,2213640
2016-09-13,22.551430,22.901297,21.061996,21.651772,17.570833,2830175
2016-09-14,21.651772,22.171574,21.521820,21.841700,17.724962,1010883
2016-09-15,22.491453,22.741358,22.111597,22.141586,17.968328,964066
2016-09-16,22.231552,22.421478,20.392250,20.742117,16.832634,3053159
2016-09-19,20.902058,21.601791,20.242308,20.392250,16.548708,1692642
2016-09-20,20.332273,20.932045,20.332273,20.512205,16.646055,1237570
2016-09-21,20.692137,20.822086,19.692516,19.922428,16.167439,1358416
2016-09-22,20.182329,20.442230,19.562567,19.892441,16.143103,1512374
2016-09-23,19.592554,20.142345,19.442612,19.642534,15.940298,998579
2016-09-26,19.372639,19.372639,18.802855,19.232691,15.607702,1527980
2016-09-27,19.112738,19.342649,18.612926,18.892820,15.331893,1949440
2016-09-28,18.812851,19.932425,18.812851,19.692516,15.980859,1477461
2016-09-29,19.772486,20.222315,19.062756,19.232691,15.607702,2224244
2016-09-30,19.242687,19.362642,18.832844,19.252684,15.623928,1124727
2016-10-03,19.182711,19.622543,19.142725,19.492592,15.818619,1352513
2016-10-04,19.492592,19.642534,18.592934,19.002777,15.421123,1743262
2016-10-05,19.132729,19.632540,18.892820,18.962793,15.388675,926351
2016-10-06,18.972790,19.762489,18.942801,19.552570,15.867290,1626117
2016-10-07,19.702513,20.082369,19.372639,19.622543,15.924074,1375422
2016-10-10,19.842459,20.972031,19.562567,20.532198,16.662279,2737539
2016-10-11,20.742117,20.842079,19.952417,20.832083,16.905640,1594305
2016-10-13,20.892061,21.251925,20.042383,21.171953,17.181450,4643863
2016-10-14,21.341890,21.631779,20.792099,21.091986,17.116556,1935935
2016-10-17,21.261921,21.381874,20.672144,21.281912,17.270685,592324
2016-10-18,21.281912,22.701372,21.281912,22.591415,18.333372,3423300
2016-10-19,22.591415,22.911293,21.671764,21.991644,17.846645,5246893
2016-10-20,21.791719,22.171574,21.571802,21.991644,17.846645,999579
2016-10-21,21.991644,22.701372,21.921669,22.541433,18.292812,1282987
2016-10-24,22.691378,23.021252,22.511444,22.921289,18.601074,1287889
2016-10-25,22.921289,23.271156,22.061617,23.271156,18.884995,2119204
2016-10-26,23.261160,23.441092,22.921289,23.171194,18.803877,1950140
2016-10-27,23.311140,23.990883,23.301146,23.451088,19.031013,1913927
2016-10-28,23.181190,23.900917,23.181190,23.900917,19.396059,1828894
2016-10-31,23.810951,24.700613,23.521061,23.690996,19.225706,2455932
2016-11-01,23.551050,23.890921,22.931286,23.261160,18.876884,1761369
2016-11-03,23.291149,23.291149,22.621403,22.771345,18.479391,1831895
2016-11-04,22.771345,23.281153,22.631399,22.711369,18.430716,1315999
2016-11-07,22.851316,23.591036,22.851316,23.091225,18.738979,1238070
2016-11-08,22.891300,23.471081,22.891300,23.251163,18.868773,783197
2016-11-09,22.481457,23.541054,22.281532,23.501068,19.071573,1344010
2016-11-10,23.591036,23.860931,22.091604,22.181570,18.000774,3117084
2016-11-11,21.991644,22.421478,20.922049,22.091604,17.927765,2306176
2016-11-14,21.991644,22.691378,20.922049,22.131590,17.960218,2351093
2016-11-16,23.690996,23.690996,21.331894,22.891300,18.576736,5764389
2016-11-17,23.021252,23.491074,21.671764,22.231552,18.041336,2484143
2016-11-18,22.051620,22.761351,21.941662,22.491453,18.252254,1781776
2016-11-21,22.551430,23.641016,22.391491,23.541054,19.104023,1350613
2016-11-22,23.690996,24.250784,23.631020,23.890921,19.387945,1330705
2016-11-23,24.190807,24.290770,23.141207,23.790958,19.306826,1419739
2016-11-24,23.790958,24.960514,23.661009,24.790579,20.118038,1499169
2016-11-25,24.490692,24.990503,24.080849,24.980507,20.272167,3475220
2016-11-28,24.980507,25.920151,24.980507,25.710230,20.864351,3592964
2016-11-29,25.400347,25.930145,25.390350,25.750214,20.896799,2507252
2016-11-30,26.140066,26.140066,25.090466,25.640257,20.807566,25565511
2016-12-01,25.640257,25.860172,24.280773,24.830564,20.150484,3766730
2016-12-02,24.590654,24.690617,23.900917,23.990883,19.469070,2818870
2016-12-05,24.110838,24.420719,23.311140,23.980886,19.460957,1264980
2016-12-06,23.980886,24.260780,23.611027,23.940903,19.428509,1125527
2016-12-07,24.090845,24.090845,23.091225,23.581039,19.136475,1500570
2016-12-08,23.491074,23.531057,22.761351,22.991262,18.657856,1475260
2016-12-09,23.041245,23.141207,22.461464,22.891300,18.576736,1661531
2016-12-12,22.741358,23.021252,22.141586,22.901297,18.584848,1421640
2016-12-13,23.021252,23.021252,22.411484,22.721365,18.438831,1668733
2016-12-14,22.571423,22.831324,22.191566,22.651392,18.382046,1712550
2016-12-15,22.441471,22.861313,22.231552,22.841320,18.536175,1066705
2016-12-16,22.961273,23.141207,22.541433,22.701372,18.422606,2604189
2016-12-19,22.681381,22.831324,22.491453,22.771345,18.479391,1352713
2016-12-20,22.801334,22.801334,21.691757,21.991644,17.846645,1898421
2016-12-21,22.391491,22.391491,22.391491,22.391491,18.171129,1165042
2016-12-22,22.421478,22.621403,21.741737,21.991644,17.846645,986474
2016-12-23,22.131590,22.501450,21.861692,22.331514,18.122458,788299
2016-12-26,22.361502,22.831324,22.151583,22.791340,18.495617,300214
2016-12-27,22.831324,22.861313,22.031628,22.401487,18.179243,578619
2016-12-28,22.381495,22.731361,22.191566,22.731361,18.446941,569116
2016-12-29,22.821327,22.871307,22.121593,22.801334,18.503725,4207398
2017-01-02,22.491453,22.791340,22.201563,22.491453,18.252254,602628
2017-01-03,22.551430,22.851316,21.891682,22.331514,18.122458,1846901
2017-01-04,22.281532,22.651392,22.261539,22.581419,18.325260,1351413
2017-01-05,22.591415,22.781343,22.451468,22.491453,18.252254,734178
2017-01-06,22.561426,22.571423,22.051620,22.461464,18.227915,624437
2017-01-09,22.401487,22.801334,22.071611,22.071611,17.911541,1237370
2017-01-10,22.191566,22.291529,21.691757,21.971649,17.830421,1028290
2017-01-11,22.091604,22.101601,21.191948,21.521820,17.465376,964966
2017-01-12,22.491453,23.321136,22.071611,23.191187,18.820097,3040354
2017-01-13,23.191187,23.391111,22.911293,23.181190,18.811987,1914327
2017-01-16,23.001259,23.101221,22.351505,22.681381,18.406382,767191
2017-01-17,22.491453,23.131210,22.491453,22.711369,18.430716,1466256
2017-01-18,22.891300,22.901297,21.671764,21.811710,17.700628,1504471
2017-01-19,21.831703,21.841700,20.812092,21.621782,17.546495,1430043
2017-01-20,21.741737,22.671385,21.651772,22.121593,17.952105,1495968
2017-01-23,22.341511,23.121214,22.341511,22.961273,18.633520,836017
2017-01-24,22.961273,23.091225,22.491453,22.521441,18.276587,710469
2017-01-26,22.491453,22.971270,21.951658,21.991644,17.846645,1277485
2017-01-27,22.041624,22.121593,21.491833,21.681761,17.595171,712270
